id,Lng,Lat,Cid,tradeTime,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,elevator,fiveYearsProperty,subway,district
101088238072,116.432142,39.902354,1111027380930,2016-07-26,115,520,87176,59.65,1,1,1,1,12,3,2005,4,6,1,1,1,1
101088346049,116.453712,39.940847,1111027380731,2016-12-04,84,1580,74999,210.67,4,2,1,3,6,4,2000,4,6,1,1,0,7
101088350722,116.486595,39.917578,1111027375161,2016-07-25,17,1150,52668,218.35,4,2,1,2,14,4,2005,4,6,1,1,1,7
101088389994,116.475515,40.008231,1111027381349,2016-06-29,83,213,36417,58.49,1,0,1,0,30,3,2004,3,6,1,0,1,7
101088499424,116.373014,39.859478,1111027374270,2016-06-27,119,160,30189,53,1,1,1,1,18,1,1998,3,6,1,1,1,2
101088532737,116.284755,39.93453,1111027376911,2016-10-30,13,210,40385,52,1,0,1,1,19,1,2009,3,6,1,0,1,8
101088567700,116.450729,39.977923,1111043364345,2016-08-15,37,1750,85366,205,3,2,1,2,27,4,2010,2,6,1,0,1,7
101088639199,116.369475,40.069842,1111027374195,2016-07-12,85,630,39378,159.99,3,2,1,2,5,4,2004,4,2,0,1,0,8
101088684632,116.480923,39.900942,1111027379643,2016-09-20,31,845,33988,248.62,2,2,1,2,14,4,2004,4,6,1,0,1,7
101088693311,116.434144,39.892211,1111027374239,2016-08-08,78,723,65407,110.54,3,1,1,1,6,4,1996,4,2,0,1,1,1
101088710736,116.376709,39.867222,1111027376484,2016-06-19,57,240,42165,56.92,2,1,1,1,18,1,1996,3,6,1,0,1,2
101088760253,116.485296,39.991732,1111027377325,2016-09-27,268,590,51687,114.15,2,2,1,1,28,1,2001,1,6,1,0,1,7
101088790489,116.416572,40.063191,1111027375135,2016-09-08,19,354.5,50672,69.96,3,1,1,2,11,3,2010,1,6,1,0,1,6
101088807471,116.257104,39.873962,1111027380345,2016-09-28,138,210,44436,47.26,1,1,1,1,9,3,2011,3,6,1,0,1,2
101088814261,116.513848,39.875068,1111027377000,2016-07-06,115,218,29416,74.11,2,1,1,1,7,4,1993,3,4,0,1,1,7
101088853537,116.257104,39.873962,1111027380345,2016-08-21,62,140,25455,55,1,0,1,1,9,3,2011,4,6,1,0,1,2
101088861935,116.567579,40.076173,1111027378340,2016-08-30,114,340,24029,141.5,3,2,1,2,12,3,2004,4,2,1,1,0,13
101088891732,116.493655,39.905367,1111027375357,2016-08-26,212,540,58888,91.7,2,2,1,1,27,1,2006,4,6,1,1,1,7
101088892021,116.297022,39.788637,1111027376394,2016-06-25,52,110,27195,40.45,1,1,1,1,7,4,2002,3,2,0,1,0,4
101088952846,116.4388,40.054941,1111027375158,2016-07-28,76,340,64151,53,1,1,1,1,17,3,2011,4,6,1,0,1,7
101088955000,116.190634,39.768886,1111054088145,2016-08-05,77,245,30625,80,2,1,1,1,9,4,2012,4,6,1,0,1,5
101088957270,116.330345,39.984336,1111027373798,2016-08-14,114,610,103566,58.9,2,1,1,1,6,4,1989,4,2,0,0,1,8
101088978810,116.254212,40.216336,1111027377222,2016-07-22,27,224.5,19026,118,2,2,1,2,6,4,1998,3,2,0,1,0,6
101089021124,116.60292,39.909042,1111041802183,2016-08-30,94,435,49505,87.87,2,1,1,1,18,3,2011,1,6,1,0,0,7
101089027493,116.324898,39.891441,1111027379964,2016-09-05,47,410,53178,77.1,3,1,1,1,24,1,1991,3,6,1,1,1,2
101089054456,116.232119,40.223852,1111027377917,2016-09-04,41,240,28784,83.38,1,1,1,1,15,1,2009,3,6,1,0,1,6
101089054589,116.683117,40.127185,1111027381881,2016-08-26,61,470,32879,142.95,3,2,1,2,5,4,2004,4,2,1,1,0,13
101089103671,116.45831,39.923422,1111027379317,2016-08-24,67,355,57677,61.55,1,0,1,1,29,1,2008,4,6,1,1,1,7
101089110617,116.422479,40.06389,1111027375783,2016-07-31,59,190,31240,60.82,1,1,1,1,19,1,2004,3,6,1,1,1,6
101089111776,116.254212,40.216336,1111027377222,2016-08-31,41,321,20523,156.41,3,1,1,2,5,4,2001,4,6,0,0,0,6
101089111787,116.318694,40.087485,1111027375875,2016-07-04,65,350,27853,125.66,3,1,1,2,9,4,2008,3,6,1,1,0,6
101089141634,116.164506,39.731851,1111027382276,2016-08-12,64,198,20625,96,3,1,1,1,6,4,2004,3,2,0,1,1,5
101089143804,116.665923,40.186753,1111027381403,2016-08-31,51,500,44147,113.26,3,2,1,2,11,4,2012,4,6,1,0,0,13
101089159752,116.314388,39.972347,1111027382572,2016-08-19,18,655,43149,151.8,2,1,1,1,22,1,1998,3,6,1,1,1,8
101089172903,116.378537,39.879671,1111027378981,2016-12-09,79,1135,61968,183.16,4,1,1,2,18,3,2003,1,6,1,0,1,10
101089178771,116.284755,39.93453,1111027376911,2017-03-22,117,280,67470,41.5,1,0,1,1,19,1,2009,4,6,1,0,1,8
101089182209,116.413046,40.056407,1111027376788,2016-07-15,110,346,34992,98.88,4,1,1,2,5,4,1998,3,4,0,1,0,6
101089194921,116.559275,40.113935,1111027379645,2017-01-22,81,530,26100,203.07,6,2,1,2,6,4,1998,4,6,0,1,0,13
101089200824,116.474383,39.902184,1111027375650,2016-06-29,43,406,63577,63.86,1,1,1,1,16,3,2007,4,6,1,0,1,7
101089201040,116.384103,39.972885,1111027378248,2016-08-15,213,642,89665,71.6,2,1,1,1,13,3,1993,1,2,1,0,0,10
101089205931,116.497474,39.810115,1111027377957,2016-07-07,266,165,29741,55.48,1,1,1,1,24,1,2009,4,6,1,0,1,3
101089228515,116.403304,39.891691,1111027379974,2016-08-31,176,400,66879,59.81,1,1,1,1,9,3,2002,4,6,1,1,1,10
101089261829,116.386555,40.0865,1111027382546,2016-07-28,83,200,41667,48,1,0,1,1,9,4,2009,4,6,1,1,0,6
101089263686,116.364028,39.870465,1111027381871,2016-06-27,93,200,48310,41.4,1,1,1,1,6,4,1990,3,2,0,0,0,2
101089274066,116.461949,40.003018,1111027381856,2016-06-24,64,845,43772,193.05,4,2,1,3,17,3,2003,4,6,1,1,1,7
101089277356,116.483319,39.915337,1111027374586,2016-07-23,82,300,43809,68.48,3,1,1,1,14,1,1994,4,6,1,1,1,7
101089285872,116.516087,39.923147,1111027380011,2016-07-27,35,225,40910,55,1,0,1,1,9,1,2005,4,6,1,1,0,7
101089299536,116.555729,40.162058,1111027379605,2016-08-10,18,395,44887,88,3,4,1,3,6,4,2009,3,4,0,0,0,13
101089301967,116.444356,39.932936,1111027377769,2016-12-29,110,392.5,83582,46.96,1,0,1,1,17,1,2003,4,6,1,0,1,7
101089305679,116.517555,39.872965,1111027374372,2016-07-17,80,200,33406,59.87,2,1,1,1,6,4,1984,4,2,0,1,0,7
101089310257,116.472165,39.903144,1111041163563,2016-08-13,195,300,50092,59.89,2,1,1,1,6,4,1992,4,2,0,0,1,7
101089311219,116.471754,40.02946,1111027376127,2016-09-12,93,510,75333,67.7,1,2,1,1,28,1,2009,3,6,1,1,1,7
101089313287,116.249496,40.221791,1111027378945,2016-08-08,70,102,24286,42,1,1,1,1,6,4,1989,3,2,0,1,1,6
101089314023,116.309431,39.842691,1111027381704,2016-07-06,30,288,41728,69.02,1,1,1,1,26,1,2006,3,6,1,0,1,2
101089317588,116.330357,39.692063,1111041787770,2016-09-07,48,468,22076,212,4,2,1,1,15,4,2014,2,6,1,0,1,4
101089326506,116.43164,39.904426,1111027374689,2016-07-30,88,450,59761,75.3,2,1,1,1,16,3,2006,2,6,1,0,1,1
101089346705,116.4388,40.054941,1111027375158,2016-07-21,61,475,70381,67.49,2,1,1,2,17,3,2012,4,6,1,0,1,7
101089355491,116.457699,39.944441,1111041750759,2016-06-20,65,240,40000,60,1,0,1,1,5,3,2010,4,6,1,0,1,7
101089374928,116.425063,40.044097,1111027378336,2016-12-18,162,202,39608,51,1,1,1,1,13,3,2011,3,6,1,1,1,7
101089379130,116.334817,39.884391,1111027373881,2016-07-03,136,240,70589,34,1,1,1,2,18,4,2009,4,6,1,0,0,10
101089385519,116.22946,40.228274,1111027377289,2016-09-21,33,265,30566,86.7,2,1,1,1,6,4,1996,4,4,0,0,1,6
101089392872,116.509143,39.925387,1111027375038,2016-07-19,44,355,40909,86.78,2,2,1,1,33,1,2011,3,6,1,0,1,7
101089394353,116.474014,39.913424,1111027377133,2016-10-29,62,389,63771,61,2,1,1,1,14,3,1985,3,6,1,0,1,7
101089395900,116.606151,40.051276,1111027378571,2017-01-22,172,300,29127,103,3,1,1,1,6,4,1998,4,2,0,1,0,7
101089402286,116.399693,39.972072,1111027374642,2016-09-11,92,509,67678,75.21,2,1,1,1,16,4,1992,4,6,1,1,1,7
101089403910,116.560389,40.094933,1111027378136,2016-09-04,78,340,25000,136,3,2,1,2,6,4,2000,3,2,0,1,1,13
101089414178,116.368804,39.873549,1111027381851,2016-07-13,39,307,51167,60,2,1,1,1,6,4,1989,3,2,0,0,0,2
101089420888,116.154608,39.726495,1111027379063,2016-07-27,15,199.5,22167,90,2,1,1,1,15,4,2010,2,6,1,0,0,5
101089423790,116.16608,39.771077,1111027377578,2016-09-30,264,210.5,32377,65,1,1,1,1,11,1,2011,4,6,1,0,0,5
101089425490,116.372222,39.880938,1111027382001,2016-09-15,34,900,56250,160,5,2,1,2,6,4,1999,1,2,0,0,1,10
101089426628,116.422211,40.011387,1111027377318,2016-07-24,16,298,35059,85,1,1,1,1,22,3,2009,1,6,1,0,1,7
101089427161,116.605035,40.051164,1111027378574,2016-09-19,72,230,25843,89,3,1,1,1,6,4,1992,1,4,0,0,0,7
101089429949,116.317831,40.039,1111027379186,2016-09-12,33,1388,53799,258,5,2,1,3,6,4,1998,4,2,0,0,0,8
101089437193,116.259318,40.217911,1111027376568,2016-07-08,14,257,23364,110,2,1,1,1,6,4,1996,1,2,0,0,0,6
101089443304,116.227892,39.780755,1111027380035,2016-09-26,19,296,27664,107,3,1,1,1,6,4,2003,3,2,0,0,0,5
101089461652,116.238792,39.852889,1111027381738,2016-07-11,29,208,31288,66.48,1,1,1,1,6,4,2004,1,2,0,1,0,2
101089473568,116.47773,40.002156,1111027380317,2016-09-07,61,650,49243,132,4,1,1,2,26,1,1997,4,6,1,1,1,7
101089476924,116.508181,39.807662,1111027374693,2016-08-27,96,127,26805,47.38,1,1,0,1,16,1,2008,3,6,1,1,1,3
101089476930,116.508181,39.807662,1111027374693,2016-08-29,154,145,27272,53.17,1,1,0,0,16,1,2008,3,6,1,0,1,3
101089477638,116.437251,39.962363,1111027382523,2016-06-28,132,270,51292,52.64,2,1,1,1,5,4,1979,4,2,0,1,1,7
101089483523,116.351677,39.980567,1111027378230,2016-08-24,76,348,58000,60,1,1,1,1,18,1,1998,3,6,1,1,1,8
101089484653,116.364028,39.870465,1111027381871,2016-07-11,130,248,45091,55,2,1,1,1,6,4,1990,4,2,0,1,0,2
101089513302,116.471203,39.876684,1111027375050,2016-09-05,128,475,34971,135.83,3,1,1,2,22,1,1998,3,6,1,1,1,7
101089520667,116.164506,39.731851,1111027382276,2016-08-23,129,188,21600,87.04,2,1,1,1,6,4,2004,3,2,0,1,1,5
101089520817,116.268601,39.933567,1111027377818,2016-06-26,63,610,64956,93.91,2,2,1,2,9,4,2003,4,6,1,1,0,8
101089545387,116.511545,39.904464,1111027378350,2016-12-30,243,210,42000,50,1,1,1,1,17,1,2010,4,6,1,1,1,7
101089555304,116.342088,39.749733,1111027378968,2016-06-19,263,220,30051,73.21,2,1,1,1,6,4,1992,4,2,0,1,1,4
101089555890,116.250662,39.910338,1111027377826,2016-07-12,21,283,44116,64.15,2,1,1,1,5,4,1981,4,2,0,1,1,9
101089562461,116.227892,39.780755,1111027380035,2016-08-17,88,210,22341,94,2,2,1,1,6,4,2005,1,2,0,1,0,5
101089567635,116.28592,39.935122,1111027381486,2016-07-06,80,580,46512,124.7,3,2,1,1,6,4,1998,3,2,0,1,0,8
101089567756,116.451239,39.960643,1111027379003,2016-07-26,51,677,40759,166.1,3,1,1,1,14,3,2002,3,6,1,0,0,7
101089570285,116.117019,39.93386,1111052073923,2016-08-31,114,153,24252,63.09,2,1,1,1,6,4,1990,4,2,0,1,0,12
101089570888,116.456102,39.931183,1111027374717,2016-07-07,24,345,56651,60.9,2,1,1,1,5,4,1976,3,2,0,1,1,7
101089573433,116.4471,39.879796,1111027382286,2016-06-20,51,1120,77242,145,3,2,1,2,17,4,2004,3,6,1,1,1,1
101089574003,116.122354,39.937384,1111027376723,2016-08-01,80,251.5,25464,98.77,3,1,1,1,6,4,2001,3,2,0,1,0,12
101089574437,116.117724,39.941152,1111052110644,2016-09-30,32,460,27480,167.4,4,2,1,2,6,4,2005,4,2,0,0,0,12
101089575068,116.231747,40.230104,1111040862979,2016-07-28,6,190,20041,94.81,2,2,1,1,6,4,1996,3,2,0,0,0,6
101089575602,116.119651,39.934504,1111027382024,2016-09-26,46,380,22755,167,4,2,1,2,6,4,2004,3,2,0,0,0,12
101089575737,116.122354,39.937384,1111027376723,2016-08-14,59,365,25000,146,4,1,1,2,5,4,2000,3,2,0,1,0,12
101089576436,116.122491,39.939735,1111027377936,2016-07-28,16,146,28505,51.22,1,1,1,1,18,4,2008,3,6,1,1,0,12
101089577075,116.118409,39.937888,1111043529456,2016-08-04,12,285,30685,92.88,2,1,1,1,15,4,2006,4,6,1,1,0,12
101089578229,116.117019,39.93386,1111052073923,2016-07-22,39,138.9,21403,64.9,2,1,1,1,6,4,1989,3,2,0,1,0,12
101089584244,116.293654,39.79232,1111027378243,2016-06-16,52,260,15991,162.6,3,2,1,2,6,4,1999,3,2,0,1,0,4
101089588384,116.48154,39.918388,1111027381647,2016-08-14,61,830,47939,173.14,4,2,1,2,30,1,2002,4,6,1,0,1,7
101089591983,116.245538,40.220033,1111027378507,2016-07-06,11,132.7,28606,46.39,2,0,1,1,6,1,1982,3,4,0,1,1,6
101089596604,116.482231,40.009521,1111027380322,2016-06-16,225,402,70738,56.83,2,1,1,1,6,4,1997,4,2,0,1,1,7
101089600337,116.342963,40.093175,1111027378137,2016-09-28,40,225,44768,50.26,1,1,0,1,11,4,2004,3,6,1,0,1,6
101089617238,116.199293,39.938056,1111027380971,2017-03-09,198,391,39692,98.51,3,1,1,1,6,4,1996,3,2,0,1,0,9
101089627140,116.421128,40.068301,1111027377809,2016-08-21,33,109,19758,55.17,1,0,0,1,10,3,2008,4,6,1,0,1,6
101089632219,116.345863,39.877035,1111027379116,2016-07-18,38,405,56787,71.32,1,1,1,1,20,3,2008,3,6,1,0,0,2
101089644663,116.432684,40.077562,1111027380057,2016-09-29,38,700,29615,236.37,6,2,1,4,12,4,2008,3,6,1,0,0,6
101089659463,116.661432,40.180564,1111027378374,2016-09-07,76,330,16337,202,4,2,1,2,6,4,2000,3,2,0,1,0,13
101089664647,116.49138,39.938386,1111027374772,2016-08-12,13,990,65637,150.83,2,2,1,2,31,3,2005,4,6,1,1,1,7
101089665243,116.673912,40.209832,1111027377882,2016-07-31,41,258,28709,89.87,2,2,1,1,6,4,2008,3,6,1,1,0,13
101089671144,116.225111,39.761305,1111053389754,2016-07-31,34,270,30034,89.9,3,2,1,1,15,4,2012,3,6,1,0,0,5
101089672534,116.371787,39.905909,1111027381293,2016-08-15,85,442,76617,57.69,2,0,1,1,12,4,1979,3,6,1,1,1,10
101089673230,116.225476,40.226443,1111027381893,2016-10-06,40,295,25000,118,3,1,1,1,6,4,2002,1,2,0,0,1,6
101089679301,116.333765,40.07892,1111027378234,2016-07-31,22,526,37287,141.07,3,1,1,2,9,4,2005,3,6,1,1,1,6
101089681707,116.529485,39.830024,1111027377363,2016-06-30,22,620,28031,221.19,4,2,1,2,4,4,2009,1,6,0,1,0,4
101089689543,116.445996,40.069568,1111027380049,2016-08-06,10,328,26356,124.45,3,1,1,1,6,4,2001,2,2,0,1,0,6
101089689777,116.3434,40.083322,1111027378110,2016-08-08,53,410,27947,146.71,3,1,1,2,6,4,2003,4,2,0,1,1,6
101089692523,116.305898,39.926084,1111027380689,2016-09-19,104,1013,69006,146.8,2,1,1,2,26,3,2006,4,6,1,1,1,8
101089705636,116.454043,39.903712,1111027379306,2016-06-30,1,220.2,46271,47.59,1,1,1,1,6,4,1994,1,2,0,0,1,7
101089715689,116.410182,40.051959,1111027377555,2016-09-27,110,575,47521,121,3,1,1,2,6,4,2004,4,4,0,1,0,6
101089720767,116.296286,39.870107,1111027382679,2016-08-25,53,635,32743,193.94,3,2,1,2,24,1,2001,3,6,1,0,1,2
101089721373,116.665923,40.186753,1111027381403,2016-07-25,25,58,17576,33,1,0,1,1,15,4,2014,1,6,1,0,0,13
101089722236,116.421128,40.068301,1111027377809,2016-07-24,8,106.5,20834,51.12,1,0,1,1,10,3,2008,4,6,1,0,1,6
101089724256,116.444857,39.954789,1111027380242,2016-08-02,37,470,42708,110.05,2,2,1,2,2,3,2006,4,6,1,0,1,1
101089725221,116.564416,39.909334,1111027380010,2016-08-10,87,205,34207,59.93,1,1,1,1,6,4,2009,3,2,0,0,0,7
101089729154,116.308505,39.839489,1111027381703,2017-04-13,93,840,56900,147.63,3,2,1,2,30,1,2001,3,6,1,1,1,2
101089736146,116.345466,40.008394,1111027375266,2016-09-29,30,354,56191,63,1,1,1,1,19,3,2010,4,6,1,0,1,8
101089741193,116.122354,39.937384,1111027376723,2016-06-17,54,189,23464,80.55,2,1,1,2,6,4,2000,3,2,0,1,0,12
101089742139,116.5038376,39.9307251,1111027374762,2016-07-29,26,1890,60823,310.74,4,2,1,3,32,4,2010,4,6,0,0,0,7
101089744951,116.418443,39.866651,1111027376735,2016-08-16,310,246.8,46567,53,2,1,1,1,6,4,1975,3,2,0,0,0,1
101089749643,116.437705,39.898038,1111043314469,2016-07-31,60,1020,82259,124,3,2,1,2,12,3,2005,4,6,1,1,1,1
101089751081,116.387363,39.864499,1111027381973,2016-07-25,55,181,36200,50,1,1,1,1,6,4,1990,3,2,0,1,0,2
101089756045,116.434166,39.948115,1111027378459,2017-01-05,56,2200,72132,305,3,2,1,3,12,1,2008,4,6,1,0,1,1
101089756397,116.491073,39.936639,1111027377991,2016-06-23,31,200,46083,43.4,1,1,1,1,6,4,1983,1,4,0,0,1,7
101089759082,116.388163,39.841127,1111027381326,2016-08-23,106,490,45371,108,3,2,1,1,10,3,2006,4,6,1,0,1,2
101089763825,116.404579,39.978491,1111027375686,2016-08-30,185,450,69231,65,2,1,1,1,16,3,1986,3,6,1,1,1,7
101089766428,116.242531,40.201675,1111054265763,2016-09-11,223,177,18870,93.8,2,1,1,1,6,4,2014,3,6,0,0,0,6
101089768076,116.460123,39.899975,1111027374685,2016-08-24,76,210,50934,41.23,1,1,1,1,6,4,1981,1,2,0,1,1,7
101089768239,116.388606,39.965854,1111027379265,2016-10-25,239,560,119684,46.79,1,1,1,1,15,3,2009,4,6,1,1,0,10
101089773776,116.244971,40.21774,1111047836724,2016-07-28,32,218,29067,75,1,1,1,1,22,1,2010,4,6,1,0,0,6
101089777827,116.312131,39.970749,1111027381078,2016-08-12,34,675,64000,105.47,2,1,1,1,18,1,1998,3,6,1,0,1,8
101089780231,116.38483,40.014138,1111027374466,2016-08-29,24,1840,91013,202.17,3,2,1,3,9,4,2007,4,6,1,1,0,7
101089783968,116.452057,39.941752,1111027377715,2016-07-29,14,1158,51014,227,4,2,1,3,19,1,1997,4,6,1,1,0,7
101089784179,116.224012,39.763726,1111053458322,2016-08-17,41,280,31275,89.53,3,1,1,1,20,3,2012,4,6,1,0,1,5
101089800157,116.377737,40.012518,1111027382657,2016-08-12,13,235,51087,46,1,0,1,1,16,3,2007,4,6,1,0,1,7
101089800492,116.367137,40.040209,1111027382073,2016-06-28,67,345,46622,74,3,1,1,1,6,4,1998,3,2,0,1,1,8
101089801498,116.343714,39.996907,1111027375225,2016-11-04,17,1680,74009,227,6,2,1,3,19,1,2003,3,6,1,1,1,8
101089811288,116.478996,39.919079,1111027374592,2016-08-07,38,495,38077,130,3,1,1,2,15,1,1998,3,6,0,1,1,7
101089812553,116.45831,39.923422,1111027379317,2016-07-23,28,315,54152,58.17,1,0,1,1,31,1,2008,4,6,1,0,1,7
101089812564,116.665923,40.186753,1111027381403,2016-07-27,22,555,32734,169.55,4,2,1,2,11,4,2012,1,6,1,0,0,13
101089815779,116.45831,39.923422,1111027379317,2016-06-23,29,301,52440,57.4,1,0,1,1,31,1,2008,4,6,1,0,1,7
101089816110,116.504911,39.998661,1111027381631,2016-08-31,37,1213.8,30097,403.3,6,3,1,4,23,1,2002,4,6,1,1,0,7
101089818264,116.462122,39.923796,1111027380611,2016-08-30,22,900,65498,137.41,2,1,1,2,31,1,2006,4,6,1,1,1,7
101089818385,116.24369,40.221606,1111027379219,2016-07-31,16,237.6,22416,106,2,1,1,1,6,4,1993,1,4,0,1,1,6
101089828782,116.476687,39.988644,1111027375068,2016-08-14,108,213,47334,45,1,1,1,1,6,4,1993,4,2,0,0,0,7
101089829481,116.512916,39.864254,1111027376354,2016-07-14,392,163,29637,55,1,1,1,1,13,3,2007,3,6,1,1,0,7
101089841839,116.550348,39.755625,1111027381517,2016-07-24,39,440,18360,239.66,4,2,1,4,4,4,2006,2,6,0,0,0,3
101089843426,116.48837,39.929525,1111027381794,2016-08-24,112,276,46000,60,2,0,1,1,6,4,1979,3,2,0,1,1,7
101089848954,116.134792,39.743391,1111027375971,2016-06-29,24,118,17788,66.34,1,1,1,1,10,4,2000,3,6,1,1,0,5
101089859053,116.448302,39.960966,1111027374893,2016-09-26,36,312,26497,117.75,2,1,1,1,25,1,2008,4,6,1,0,0,7
101089866708,116.384462,39.907534,1111027381778,2016-07-31,12,1220,74976,162.72,3,2,1,2,11,3,1999,4,6,1,1,1,10
101089872731,116.254035,40.205429,1111046251721,2016-07-29,5,170,24638,69,1,1,1,1,21,3,2010,1,6,1,0,0,6
101089901832,116.467922,39.993105,1111027375067,2016-07-21,88,387,46017,84.1,3,1,1,1,18,1,1995,3,6,1,1,1,7
101089903581,116.223565,39.76392,1111053464799,2016-08-29,104,261,33110,78.83,2,1,1,1,20,3,2012,2,6,1,0,1,5
101089904788,116.233676,40.231785,1111027375855,2016-08-05,108,110,25987,42.33,1,1,1,1,5,4,2003,3,6,0,1,1,6
101089908540,116.414421,40.053513,1111027378407,2016-07-27,35,112.6,32172,35,1,0,1,1,20,3,2007,3,6,1,0,0,7
101089908973,116.429293,39.872461,1111027374678,2016-10-24,96,120,34823,34.46,1,0,1,1,23,1,2005,4,6,1,0,1,2
101089913477,116.305298,39.979471,1111027380422,2016-09-26,62,1700,85587,198.63,4,2,1,2,6,4,2000,4,2,1,0,1,8
101089915643,116.188935,40.054103,1111027379217,2016-06-30,10,165,27500,60,1,1,1,1,10,1,2012,3,6,1,0,0,8
101089916459,116.421713,39.971435,1111027375189,2016-07-31,273,244,59195,41.22,1,1,1,1,20,1,1997,4,6,1,1,1,7
101089920834,116.305898,39.926084,1111027380689,2016-07-30,233,710,65741,108,2,2,1,1,17,3,2008,4,6,1,0,1,8
101089932875,116.382855,39.899213,1111027374452,2016-07-07,44,1585,100045,158.43,3,2,1,2,18,4,2004,4,6,1,1,1,10
101089945139,116.471215,39.903238,1111027379315,2016-09-19,118,355,49693,71.44,2,1,1,1,16,1,1986,3,6,1,0,1,7
101089950508,116.259318,40.217911,1111027376568,2016-09-18,46,365,19797,184.38,3,2,1,2,6,4,2001,1,4,0,0,0,6
101089959274,116.440728,39.963453,1111027375051,2016-07-31,31,600,58732,102.16,1,1,1,1,21,1,2001,4,6,1,1,1,7
101089960116,116.322609,40.089206,1111027379920,2016-06-23,79,323.9,25315,127.95,3,2,1,2,6,4,2008,2,2,0,1,0,6
101089971937,116.254113,40.220461,1111027376884,2016-11-13,41,288,32360,89,2,1,1,1,6,4,1998,3,4,0,1,0,6
101089985680,116.534997,39.928559,1111027374236,2016-08-05,131,450,36338,123.84,3,1,1,2,24,1,2003,4,6,1,0,1,7
101089988015,116.44439,40.093691,1111027381549,2016-09-20,2,280,24138,116,3,1,1,1,6,4,1999,3,2,0,1,0,6
101089991726,116.269851,39.897262,1111027378928,2016-09-12,226,216,30924,69.85,2,1,1,1,6,4,1994,3,2,0,0,0,2
101089992721,116.461498,39.954426,1111027379503,2016-09-24,28,1200,54363,220.74,2,2,1,2,29,1,2008,4,6,1,0,1,7
101089993965,116.338639,40.079333,1111027378111,2016-07-26,60,368,25912,142.02,3,2,1,1,6,4,2003,4,4,0,1,1,6
101090007138,116.432151,39.905567,1111027376916,2017-01-11,181,1100,57046,192.83,3,2,1,2,16,3,1999,3,6,1,1,1,1
101090010118,116.117724,39.941152,1111052110644,2016-08-01,51,320.5,27511,116.5,3,1,1,2,14,3,2006,3,6,1,1,0,12
101090016634,116.246651,40.219539,1111027379020,2016-07-17,3,98,26134,37.5,1,0,0,1,10,1,2007,1,6,0,0,0,6
101090018551,116.475046,39.88209,1111027380436,2016-09-12,569,227,33937,66.89,2,1,1,1,4,4,1965,4,4,0,1,1,7
